name,services,location,phone,hours,promo,title,latitude,longitude,located_in,category_name,search_string,address,city,website,total_score,url,image_url,description,source_file,place_id,hours_summary
Hospital Veterinario Canino Real,Hospital veterinario,San Salvador,+503 2225-8089,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Hospital Veterinario Canino Real,13.7164262,-89.2105484,,Hospital veterinario,Clínica Veterinaria,"Blvr. Universitario 2165, San Salvador, El Salvador",San Salvador,https://www.facebook.com/HospitalVeterinarioCaninoReal/,4.5,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Canino%20Real&query_place_id=ChIJl5_vKH0wY48RQqLjSBFkGXM,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdb1UjiAQKlIPggEpW8r5XJPTaTE8GIHRV1nfIg2XaF6xBl1UvbuG7tVMJ_X6AVN12lafG8bg0SaO7SEY-JeiaofroCOaWA9YIxMUQEx52Y-iUL3AgWID_SwQm6SgZ8f6UJYSsjw=w408-h544-k-no,,Hospitales,ChIJl5_vKH0wY48RQqLjSBFkGXM,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Estacionamiento # 1 La Gran Via,Aparcamiento,Cd Merliot,+503 2249-3800,,,Estacionamiento # 1 La Gran Via,13.6771858,-89.2523724,,Aparcamiento,Hospital Veterinario,"Aparcamiento, Carr. Panamericana, Cd Merliot, El Salvador",Cd Merliot,,4.3,https://www.google.com/maps/search/?api=1&query=Estacionamiento%20%23%201%20La%20Gran%20Via&query_place_id=ChIJkyBZaywuY48RmsVU1vUbl1o,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG1yTde38IRR1XFnnh0CwnSWZRWlNKKAsUBF-ju5GBOBc2eqtHClnvfL4lHOzm6yngN0oK8sEMjyC1ub0z_BR_lGTFgl-0VsxGlxZUftg5cN9M7QBI14IRUW6rX2FVTJUynlTQb=w408-h306-k-no,,Hospitales_Veterinarios,ChIJkyBZaywuY48RmsVU1vUbl1o,
Centro veterinario Dr. Valenzuela,Centro médico,Santa Ana,,"jueves: 2:30 a 5 AM, 9:30 AM a 1 a.m.; viernes: 2:30 a 5 AM, 9:30 AM a 1 a.m.; sábado: 9:30 AM a 1 a.m.; domingo: Cerrado; lunes: 9:30 AM a 1 a.m.; martes: 2:30 a 5 AM, 9:30 AM a 1 a.m.; miércoles: 2:30 a 5 AM, 9:30 AM a 1 a.m.",,Centro veterinario Dr. Valenzuela,13.9778279,-89.5639119,,Centro médico,Hospital Veterinario,"XCHP+4CP, Santa Ana, El Salvador",Santa Ana,,,https://www.google.com/maps/search/?api=1&query=Centro%20veterinario%20Dr.%20Valenzuela&query_place_id=ChIJw3JPDgDpYo8RHaFGu7qLTcw,,,Hospitales_Veterinarios,ChIJw3JPDgDpYo8RHaFGu7qLTcw,"jueves: 2:30 a 5 AM, 9:30 AM a 1 a.m.; viernes: 2:30 a 5 AM, 9:30 AM a 1 a.m.; sábado: 9:30 AM a 1 a.m.; domingo: Cerrado; lunes: 9:30 AM a 1 a.m.; martes: 2:30 a 5 AM, 9:30 AM a 1 a.m.; miércoles: 2:30 a 5 AM, 9:30 AM a 1 a.m."
Peterinaria Pelitos Hotel y Spa,Cuidador de mascotas,San Salvador,+503 2220-8463,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Peterinaria Pelitos Hotel y Spa,13.7073199,-89.234799,,Cuidador de mascotas,Hospital Veterinario,"9a Calle Poniente 4042, San Salvador CP 1101, El Salvador",San Salvador,,5,https://www.google.com/maps/search/?api=1&query=Peterinaria%20Pelitos%20Hotel%20y%20Spa&query_place_id=ChIJmTW7XYoxY48RqyHYf8K83p8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFl7JO2SijlmrMjtRFtRTjE3OvkL4uwDJ_gVUIn4Hd2B0j-xjTqZ7zTNGPY_tFyz2BqlWod32GsNWBOEKgiNtWqfZoWX7WAa5MwDcpnQWTajnrvDUJXzuFbhTuo7TJ27ct-qSu2=w408-h408-k-no,,Hospitales_Veterinarios,ChIJmTW7XYoxY48RqyHYf8K83p8,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Mister kan,Hospital,San Miguel,+503 7018-8540,jueves: 24 horas; viernes: 24 horas; sábado: 7:30 AM a 4:30 a.m.; domingo: Cerrado; lunes: 8 AM a 12 a.m.; martes: 24 horas; miércoles: 24 horas,,Mister kan,13.4763956,-88.1745928,,Hospital,Hospital Veterinario,"3114, San Miguel, El Salvador",San Miguel,,5,https://www.google.com/maps/search/?api=1&query=Mister%20kan&query_place_id=ChIJB3OR4XAqe48RsYi2ZQpG0KY,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGb_Q9jhOUSULmbK3FHEyxbnlBd8pWU1NKbopwoCx-_HN87z-cnyw3rhDDRdEOPDh5hWXVfATHqxhNPYBu8I3MKtZS6PZRptOwrbIS9aG9u18D43D0v57YMVSJtxCQNr20AG-xavQ=w408-h341-k-no,,Hospitales_Veterinarios,ChIJB3OR4XAqe48RsYi2ZQpG0KY,jueves: 24 horas; viernes: 24 horas; sábado: 7:30 AM a 4:30 a.m.; domingo: Cerrado; lunes: 8 AM a 12 a.m.; martes: 24 horas; miércoles: 24 horas
Hospital Nacional El Salvador,Hospital gubernamental,San Salvador,+503 2594-2100,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Hospital Nacional El Salvador,13.6876297,-89.2372136,,Hospital gubernamental,Hospital Veterinario,"Av. De La Revolucion 222, San Salvador, El Salvador",San Salvador,https://www.facebook.com/HElSalvador/,4.6,https://www.google.com/maps/search/?api=1&query=Hospital%20Nacional%20El%20Salvador&query_place_id=ChIJa62cNCYxY48RxbNruSKdAww,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEIc73xQ2WhoGOSjFHgLiSBMFgOdNJ2LTaIbal1ge7ET7_gvGJ0KKqN_Nbk_q8f17mVue6UyNjGxDPqeCN9jx_Eng5797K-sd1wYvQXN8npFSr_0sYpt46-U7B7CSQIBqVJgVBU=w408-h271-k-no,,Hospitales_Veterinarios,ChIJa62cNCYxY48RxbNruSKdAww,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Hospital Centro de Emergencias,Hospital privado,San Salvador,+503 2530-3333,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Hospital Centro de Emergencias,13.7088826,-89.2015607,,Hospital privado,Hospital Veterinario,"Diagonal Dr. Luis Edmundo #250 Vásquez y, Ave Dr Max Bloch, San Salvador, El Salvador",San Salvador,https://hospitalcentrodeemergencias.wordpress.com/,4.1,https://www.google.com/maps/search/?api=1&query=Hospital%20Centro%20de%20Emergencias&query_place_id=ChIJF3DyOIwwY48RtLDdF6eAer4,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyQ_aBmHxr7pPjGpcywhLtdFCfvEU7omDhLFD7u7hEcCZFAbxzBZnrPF1c6x-aEOtJ_mfoEaUnorWZkmFRbIGSVuRhc3PMUHTThgFSqra_0fB9mXkTTavtZ6d4fkbGBaSjE9g_4w=w408-h306-k-no,,Hospitales_Veterinarios,ChIJF3DyOIwwY48RtLDdF6eAer4,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Tail‘s Veterinaria,Hospital veterinario,San Miguel,+503 6968-1408,jueves: 8 AM a 5 PM; viernes: 8 AM a 5 PM; sábado: 8 AM a 3 PM; domingo: Cerrado; lunes: 8 AM a 5 PM; martes: 8 AM a 5 PM; miércoles: 8 AM a 5 PM,,Tail‘s Veterinaria,13.4761372,-88.1896082,,Hospital veterinario,Hospital Veterinario,"FRG6+93V, San Miguel, El Salvador",San Miguel,https://sites.google.com/view/tailsveterinaria/inicio,4.8,https://www.google.com/maps/search/?api=1&query=Tail%E2%80%98s%20Veterinaria&query_place_id=ChIJX_-w2UIre48RsOtFXIE9z3g,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0rucXFE9vfILhOMTKtguV0Ha1wq8YEmosAIkRJc8c73DSdAJtvkbaf7-UwuwDWx0PsJn3UoHhEGUypKsyfnCWkaBYHY2rxRG2eHHxY5FcdkEog5aUTLhOziAn8GN_BVx3sQbyFQGbBVU8=w408-h764-k-no,,Hospitales_Veterinarios,ChIJX_-w2UIre48RsOtFXIE9z3g,jueves: 8 AM a 5 PM; viernes: 8 AM a 5 PM; sábado: 8 AM a 3 PM; domingo: Cerrado; lunes: 8 AM a 5 PM; martes: 8 AM a 5 PM; miércoles: 8 AM a 5 PM
Clinica Veterinaria MijangoVet,Hospital veterinario,El Transito,+503 7220-1390,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Clinica Veterinaria MijangoVet,13.3464628,-88.34824,,Hospital veterinario,Hospital Veterinario,"Bo La Cruz, Av. Ferrocarril, El Transito, El Salvador",El Transito,,4.7,https://www.google.com/maps/search/?api=1&query=Clinica%20Veterinaria%20MijangoVet&query_place_id=ChIJH12Z_ks7e48RLNGOk7tgF9k,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGl4bpS-a_vZ6pY5GkGIaL881ca-7FJvId7tj1j7a3RgMkswSLCXf3Gn8neBJNkKVJf13VKY4PJpQCKi7PHvJCOczb7eGWkp2MHiaokowx3t2CNYuNtRg5WHNC9qnlcRJQsGo4A_Q=w408-h725-k-no,,Hospitales_Veterinarios,ChIJH12Z_ks7e48RLNGOk7tgF9k,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
Veterinaria Dr Ventura,Hospital veterinario,Santa Elena,+503 7040-4974,jueves: 9 AM a 5 PM; viernes: 9 AM a 5 PM; sábado: 9 AM a 1 PM; domingo: Cerrado; lunes: 9 AM a 5 PM; martes: 9 AM a 5 PM; miércoles: 9 AM a 5 PM,,Veterinaria Dr Ventura,13.3722694,-88.4100653,,Hospital veterinario,Hospital Veterinario,"9HCQ+RWM, Bulevar De Santa Elena, Santa Elena, El Salvador",Santa Elena,,5,https://www.google.com/maps/search/?api=1&query=Veterinaria%20Dr%20Ventura&query_place_id=ChIJ-6IZaQA3e48R0sX8OscskgA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEe4xHKgiw7ZSi-ASDFqz3G526pF0Q4jYvknY9wwWFX3ifrEqB2Tslz8esYYYIVWmQDrJpMyHSkWBL_bmFaFjN7hraAyJZHIXmUh7ErjW3oGew6jMSqxVmRuicYwjkxXetg6GD6Wvz0iyeJ=w408-h306-k-no,,Hospitales_Veterinarios,ChIJ-6IZaQA3e48R0sX8OscskgA,jueves: 9 AM a 5 PM; viernes: 9 AM a 5 PM; sábado: 9 AM a 1 PM; domingo: Cerrado; lunes: 9 AM a 5 PM; martes: 9 AM a 5 PM; miércoles: 9 AM a 5 PM
Veterinaria Forever Pets Gotera,Hospital veterinario,San Francisco Gotera,+503 2398-2513,jueves: 7 AM a 5 PM; viernes: 7 AM a 5 PM; sábado: 7 AM a 4 PM; domingo: 7 AM a 12 PM; lunes: 7 AM a 5 PM; martes: 7 AM a 5 PM; miércoles: 7 AM a 5 PM,,Veterinaria Forever Pets Gotera,13.6936485,-88.0993403,,Hospital veterinario,Hospital Veterinario,"Av. El Bambu 20, San Francisco Gotera CP 3201, El Salvador",San Francisco Gotera,,5,https://www.google.com/maps/search/?api=1&query=Veterinaria%20Forever%20Pets%20Gotera&query_place_id=ChIJe8hh8_0pZY8RiJgK88DlnuU,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHX8fJMm1gn_8gs_DK9kfaVzZBMdCMTw5ZZGTSZwuCwun7dFSPCUWeUyyFJADEivuOjPpjx0s_HJtJtcjOW4Bkj4BzTXjtVxsynny2wVXiVKKcTBVFnAwcJmzowmGObSBtYpcHnA=w408-h306-k-no,,Hospitales_Veterinarios,ChIJe8hh8_0pZY8RiJgK88DlnuU,jueves: 7 AM a 5 PM; viernes: 7 AM a 5 PM; sábado: 7 AM a 4 PM; domingo: 7 AM a 12 PM; lunes: 7 AM a 5 PM; martes: 7 AM a 5 PM; miércoles: 7 AM a 5 PM
Hospital Veterinario Universitario,Hospital veterinario,San Salvador,,,,Hospital Veterinario Universitario,13.7187053,-89.2011124,,Hospital veterinario,Hospital Veterinario,"PQ9X+FGP, San Salvador, El Salvador",San Salvador,,,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20Universitario&query_place_id=ChIJo5ARFgAxY48RchnPVpU5zEA,,,Hospitales_Veterinarios,ChIJo5ARFgAxY48RchnPVpU5zEA,
Hospital Veterinario PROVET,Hospital veterinario,San Salvador,+503 2542-7459,jueves: 8 AM a 5 PM; viernes: 8 AM a 5 PM; sábado: 8 AM a 5 PM; domingo: 8 AM a 3 PM; lunes: Cerrado; martes: 8 AM a 5 PM; miércoles: 8 AM a 5 PM,,Hospital Veterinario PROVET,13.7196983,-89.224515,,Hospital veterinario,Hospital Veterinario,"Paseo Miralvalle, San Salvador, El Salvador",San Salvador,http://www.facebook.com/veterinariaprovet.ss,4.4,https://www.google.com/maps/search/?api=1&query=Hospital%20Veterinario%20PROVET&query_place_id=ChIJgyjDSXEwY48Roq1LCvX-HK8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNAK8E65eYPCW382L6NUCMcNFWuF_Rxawd18WAZhSyiZXP2iUZhqwYolICFzPvLcfbob8v8jx6icAGv8hgcjYMTkY4WSsSkMZtKhz9Ayb85lcYobDTIvuazCpXORy_0_7M-NPgyQ=w426-h240-k-no,,Hospitales_Veterinarios,ChIJgyjDSXEwY48Roq1LCvX-HK8,jueves: 8 AM a 5 PM; viernes: 8 AM a 5 PM; sábado: 8 AM a 5 PM; domingo: 8 AM a 3 PM; lunes: Cerrado; martes: 8 AM a 5 PM; miércoles: 8 AM a 5 PM
Hillside Animal Hospital,Hospital veterinario,San Salvador,+503 2223-3086,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas,,Hillside Animal Hospital,13.690262,-89.222705,,Hospital veterinario,Hospital Veterinario,"Av. Las Amapolas, San Salvador, El Salvador",San Salvador,,4.2,https://www.google.com/maps/search/?api=1&query=Hillside%20Animal%20Hospital&query_place_id=ChIJn0CZKU8wY48RUSL8lQDQHKg,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGfjFcPIjpOUBErJz3wMY6ch92YLUPwMO0-XUDEdxZ4V8BGQN_uWsBpSnFj0PAZ1XXXdI1WA7i_kYA24CB3ioF-P4K4sPxqX7pXgnnepe1tcaDj0CJIKfaObLnHjEvrF0238z73GEwzdvkn=w408-h544-k-no,,Hospitales_Veterinarios,ChIJn0CZKU8wY48RUSL8lQDQHKg,jueves: 24 horas; viernes: 24 horas; sábado: 24 horas; domingo: 24 horas; lunes: 24 horas; martes: 24 horas; miércoles: 24 horas
